city,country,description
Bratislava,Slovakia,"Slovakia's capital since the country's independence in 1993, Bratislava is a mosaic of illustrious history: a medieval and Gothic old town, baroque palaces commissioned by Hungarian nobles, and the crowning castle, rebuilt to Renaissance finery. Slicing through the city are stark-angled, communist-era blocks and a futurist bridge.Recent years have added a cast of outlandish statues, boutiques and modish cafes, eagerly sought out by visiting stag party groups and day trippers from Vienna. Many arrive purely to enjoy the uproarious nightlife, from rowdy beer halls to hidden nightclubs.Despite the march of modernism, Bratislava still has nature on its doorstep. The city banks the Danube River, only a few kilometres from the Austrian border. Rolling north are the Malé Karpaty (Small Carpathians), their lowlands draped with vineyards. Flitting between postcard-pretty, steely and gorgeously green, Bratislava never fails to intrigue."
Brussels,Belgium,"Historic yet hip, bureaucratic yet bizarre, self-confident yet unshowy, Brussels is multicultural to its roots.ArchitectureThe cityscape swings from majestic to quirky to rundown and back again. Art deco facades face off against 1960s concrete developments, and regal 19th-century mansions contrast with the shimmering glass of the EU’s Gotham City. This whole maelstrom swirls out from Brussels’ medieval core, where the Grand Place is surely one of the world’s most beautiful squares. But Brussels' greatest architectural expression came at the turn of the 19th century with art nouveau, and its master builder is Horta. While restraint characterises his exteriors, the interiors are sensual symphonies of form and colour.ArtSometimes it seems as if every building in the city is being converted into a contemporary art gallery, from townhouses to skating rinks to the vast canal-side Citroën garage being remodelled to showcase conceptual art. With property prices lower than Paris, many commercial galleries are choosing to shift to the city. And students and young artists are opening their doors to show work at open studio weekends and event nights. Whether you prefer iconoclastic or outsider art, Magritte or the Flemish Primitives, there really is something for every art lover in Brussels.Food & DrinkAs with many other aspects of life, the people of Brussels like to eat and drink a little differently, and there are some deeply ingrained habits: delicious frites have to be double fried, and the classic waffle comes with a snowfall of icing sugar. They even have their own biscuit: the shortcrust cinnamon speculoos. In addition to the fabled beer, which many visitors focus their trip around, Brussels boasts the half-en-half, a heady mix of white wine and champagne. In recent times there has been an increasing focus on local organic cuisine, and this heavy eating city is definitely getting healthier.The MarollesBrussels’ once resolutely working-class Marolles quarter has partly shed its proletarian image with a clutch of intimate restaurants and funky interior-design shops along the main streets, Rue Haute and Rue Blaes. Nonetheless, pockets of original Bruxellois character can still be found, notably around the Place du Jeu-de-Balle. At a few of the enjoyable downmarket cafés here you might overhear people speaking in the earthy Bruxellois dialect, and at least one stall still sells the traditional street food: snails. Note that, despite the name, Jeu-de-Balle (aka balle-pelotte) is no longer played here."
Bucharest,Romania,"Romania’s capital sometimes gets a bad rap, but in fact it's dynamic, energetic and lots of fun. Many travellers give the city just a night or two before heading off to Transylvania, but that’s not enough time. Allow at least a few days to take in the very good museums, stroll the parks and hang out at trendy cafes and drinking gardens. While much of the centre is modern and the buildings are in various stages of disrepair, you'll find splendid 17th- and 18th-century Orthodox churches and graceful belle époque villas tucked away in quiet corners. Communism changed the face of the city forever, and nowhere is this more evident than at the gargantuan Palace of Parliament, the grandest (and arguably crassest) tribute to dictatorial megalomania you’ll ever see."
Budapest,Hungary,"Budapest has something for everyone – from dramatic history and flamboyant architecture to healing thermal waters and a nightlife that is unrivalled in Eastern and Central Europe.
The Human Touch
Budapest’s beauty is not all God given; humankind has played a role in shaping this pretty face too. Architecturally, the city is a treasure trove, with enough baroque, neoclassical, Eclectic and art nouveau buildings to satisfy everyone. Overall, though, Budapest has a fin de siècle feel to it, for it was then, during the capital’s ‘golden age' in the late 19th century, that most of what you see today was built.
The Past at Hand
They say the past is another country, but it’s always been just around the corner in Budapest. Witness the bullet holes and shrapnel pockmarks on buildings from WWII and the 1956 Uprising. There are sad reminders like the poignant Shoes on the Danube memorial, but ones, too, of hope and reconciliation – like the 'sword' of the former secret-police building on Andrássy út now beaten into the 'ploughshare' that is the House of Terror, with both sides of the story – left and right – told.
Eat, Drink & Be Magyar
There's a lot more to Hungarian food than goulash, and it remains one of the most sophisticated styles of cooking in Eastern and Central Europe. Magyars may exaggerate when they say that there are three essential world cuisines – French, Chinese and their own. But Budapest’s reputation as a food capital dates largely from the late 19th and the first half of the 20th century and, despite a fallow period under communism, the city is once again commanding attention. So, too, are Hungary's excellent wines – from Eger's complex reds and Somló’s flinty whites to honey-sweet Tokaj.
In the Soak
Budapest is blessed with an abundance of hot springs. As a result, ‘taking the waters’ has been an experience here since the time of the Romans. The array of bathhouses is generous – you can choose from Turkish-era, art nouveau and modern establishments. Some people come seeking a cure for whatever ails them, but the majority are there for fun and relaxation – though we still maintain it’s the world’s best cure for what Hungarians call a macskajaj (cat’s wail) – hangover."
Burgas,Bulgaria,"For most visitors, the port city of Burgas (sometimes written as ‘Bourgas’) is no more than a transit point for the more appealing resorts and historic towns further up and down the coast. If you do decide to stop over, you'll find a lively, well-kept city with a neat, pedestrianised centre, a long, uncrowded beach, a gorgeous seafront park, and some interesting museums. A clutch of reasonably priced hotels, as well as some of the best restaurants in this part of the country, makes it a practical base for exploring the southern coast, too.
Nature lovers also come to Burgas for the four lakes just outside the city, which are havens for abundant bird life. You can bird-watch, kayak or take an impromptu plunge into a salt pool."
Cancun,Mexico,"Cancun is a tale of two cities, with the Zona Hotelera offering majestic Caribbean beaches and Maya culture and Cancún Centro providing the local flavor.
Beaches
One look at Cancún's aquamarine Caribbean waters and it makes perfect sense why planners back in the 1970s were so eager to develop the area as Mexico's next big resort destination. With about 19km of powdery white-sand beaches in the Zona Hotelera and a quieter 15km stretch of coast north of downtown, Cancún is a beach bum's haven. You'll find some of the most swimmable waters on the Zona Hotelera's north side, between Km 4 and Km 9, while north of Cancún Centro, Isla Blanca beckons with its long stretch of relatively undeveloped coastline.
Maya Culture
When most people think of Cancún, wild party town comes to mind. But rest assured that you can also soak up some Maya culture in between the fiestas. The Museo Maya de Cancún, a world-class museum with some 400 Maya artifacts on display, is a must-see and it's adjoining San Miguelito archaeological site is well worth checking out as well. For a day of ruins-hopping, head about 2km south to El Rey, known for its small temple and several ceremonial platforms. Cancún's Maya sites may not have the wow factor of say, a Chichén Itzá, but they provide intriguing historical context when paired with the museum visit.
Food
From Yucatecan comfort food and atmospheric downtown taco joints to Michellin-starred haute cuisine in the Zona Hotelera, Cancún's diverse culinary scene keeps your tummy thoroughly content. Classic Yucatecan menu items such as cochinita pibil (slow-roasted pork with achiote and orange juice) and panuchos (bean-filled fried tortilla snacks) rank among Mexico's most iconic dishes, while thatch-roofed restaurants serving high-quality fresh fish and seafood add yet another facet to the varied dining experience. A growing number of establishments specializing in contemporary Mexican cuisine draw on Caribbean and indigenous Maya recipes to create innovative regional dishes.
Outdoor Activities
Outdoorsy types and children will truly appreciate the activities on offer in Cancún. Great diving and snorkeling sites are nearby, including a famous underwater sculpture museum, and in addition to ocean dives, you can hook up tours to explore nearby cenotes (limestone sinkholes) and their fascinating underwater cave systems. Nature enthusiasts will enjoy a day trip from Cancún to Isla Contoy, an uninhabited island that provides great hiking, bird-watching and snorkeling opportunities. And, of course, there's the beach, where water activities range from swimming and kayaking to kiteboarding."
Catania,Italy,"For all the noise, chaos and scruffiness that hit the visitor at first glance, Catania has a strong magnetic pull. This is Sicily at its most youthful, a city packed with cool and gritty bars, abundant energy and an earthy spirit in sharp contrast to Palermo’s aristocratic airs.Catania’s historic core is a Unesco-listed wonder, where black-and-white palazzi tower over sweeping baroque piazzas. One minute you’re scanning the skyline from a dizzying dome, the next perusing contemporary art in an 18th-century convent. Beneath it all are the ancient ruins of a town with over 2700 candles on its birthday cake. Indeed, food is another local forte. This is the home of Sicily's iconic pasta alla Norma and the extraordinary La Pescheria market.Keeping an eye on it all is Catania's skyscraping frenemy, Mt Etna, a powerful presence that adds another layer of intensity and beauty to Sicily's second-biggest city."
Chiang-mai,Thailand,"The former seat of the Lanna kingdom is a blissfully calm and laid-back place to relax and recharge your batteries. Participate in a vast array of activities, or just stroll around the backstreets, and discover a city that is still firmly Thai in its atmosphere and attitude.
A sprawling, modern city has grown up around ancient Chiang Mai (เชียงใหม่), ringed by a tangle of superhighways. Despite this, the historic center of Chiang Mai still feels overwhelmingly residential, more like a sleepy country town than a bustling capital. If you drive in a straight line in any direction, you'll soon find yourself in the lush green countryside and pristine rainforests dotted with churning waterfalls, serene wát and peaceful country villages – as well as a host of markets and elephant sanctuaries."
Cologne,Germany,"Cologne (Köln) offers a mother lode of attractions, led by its famous cathedral whose filigree twin spires dominate the skyline. The city’s museum landscape is especially strong when it comes to art but also has something in store for fans of chocolate, sports and even Roman history. Cologne's people are known for their liberalism and joie de vivre; it’s easy to have a good time with them in the beer halls of the Altstadt or during Carnival.Cologne is like a living textbook on history and architecture: drifting about town you’ll stumble upon an ancient Roman wall, medieval churches galore, nondescript postwar buildings, avant-garde structures and a new postmodern quarter right on the Rhine.Germany’s fourth-largest city was founded by the Romans in 38 BC and given the lofty name Colonia Claudia Ara Aggripinensium. It grew into a major trading centre, a tradition solidified in the Middle Ages and upheld today."
Corfu,Greece,"From the writings of Gerald and Lawrence Durrell to the place where the shipwrecked Odysseus was soothed and sent on his way home, Corfu has been portrayed as an idyll for centuries. Today this reputation has led to parts of the island being defiled by mass tourism, but despite this, the Corfu of literature does still exist. All you need to do is sail around the corner, walk over the next headland or potter about the rugged interior and a place of bountiful produce, cypress-studded hills, vertiginous villages, and sandy coves lapped by cobalt-blue waters awaits.Since the 8th century BC the island the Greeks call Kerkyra has been prized for its untamed beauty and strategic location. Ancient armies fought to possess it, while in the early days of modern Greece it was a beacon of learning. Corfiots remain proud of their intellectual and artistic roots."
Costa-Brava,Spain,"Stretching north from Barcelona to the Spanish–French border, the Costa Brava ('rugged coast') is undoubtedly the most beautiful of Spain's three main holiday coasts. Though there's plenty of tourism development, this wonderfully scenic region of Catalonia also unveils unspoiled coves, spectacular seascapes, wind-battered headlands, coast-hugging hiking paths, charming seaside towns with outstanding restaurants, and some of Spain's finest diving around the protected Illes Medes.
Delightful stone villages and the majestic Romanesque monastery of Sant Pere de Rodes nestle in the hilly backcountry, cloaked in the south in brilliant-green umbrella pine. Inland, wander northern Catalonia's biggest city, Girona, home to a moodily atmospheric, strikingly well-preserved medieval centre and one of the world's top restaurants. Neighbouring Figueres is famed for its bizarre Teatre-Museu Dalí, foremost of a series of sites associated with eccentric surrealist artist Salvador Dalí, who fell, like many others, for the wild natural beauty of seaside Cadaqués."
Crete,Greece,"Crete is a tapestry of splendid beaches, ancient treasures and landscapes, weaving in vibrant cities and dreamy villages, where locals share their traditions, wonderful cuisine and generous spirit.Bewitching SceneryThere’s something undeniably artistic in the way the Cretan landscape unfolds, from the sun-drenched beaches in the north to the rugged canyons spilling out at the cove-carved and cliff-lined southern coast. In between, valleys cradle moody villages, and round-shouldered hills are the overture to often snow-dabbed mountains. Take it all in on a driving tour, trek through Europe’s longest gorge, hike to the cave where Zeus was born or cycle among orchards on the Lasithi Plateau. Leave time to plant your footprints on a sandy beach, and boat, kayak or snorkel in the crystalline waters.Rich Historical TapestryCrete’s natural beauty is equalled only by the richness of its history. The island is the birthplace of the first advanced society on European soil, the Minoans, who ruled some 4000 years ago. You’ll find evocative vestiges all over, most famously at the Palace of Knossos. At the crossroads of three continents, Crete has been coveted and occupied by consecutive invaders. History imbues Hania and Rethymno, where labyrinthine lanes are lorded over by mighty fortresses, and where gorgeously restored Renaissance mansions rub rafters with mosques and Turkish bathhouses. The Byzantine influence stands in magnificent frescoed chapels, churches and monasteries.Bountiful CuisineIf you’re a foodie, you will be in heaven in Crete, where ‘locavore’ is not a trend but a way of life. Rural tavernas often produce their own meat, cheese, olive oil, raki and wine, and catch their own seafood. Follow a gourmet trail across the landscape and you’ll delight in distinctive herbs and greens gathered from each hillside, cheeses made fresh with unique village- or household-specific recipes, and honey flavoured by mountain herbs. The Cretan diet is among the healthiest in the world. Pair your meal with excellent local wine, and cap it off with a fiery shot of raki.Village CultureUntouched by mass tourism, villages are the backbone of Cretan culture and identity – especially those tucked in the hills and mountains. The island's spirited people still champion many of their unique customs, and time-honoured traditions remain a dynamic part of daily life. Look for musicians striking up a free-form jam on local instruments, such as the stringed lyra (lyre), or wedding celebrants weaving their traditional regional dances. Meeting regular folk gossiping in kafeneia (coffee houses), preparing their Easter feast, tending to their sheep or celebrating during the island’s many festivals is what makes a visit to Crete so special."
Krakow,Poland,"Poland's former royal capital effortlessly fuses medieval pomp and pageantry with modern-day, student-fuelled fun into a harmonious whole.Riveting HistoryAlternating themes of destruction and rebirth run throughout Kraków's history, all the way back to the 13th century, when marauding Tatars sacked the city and pierced the town crier's throat with an arrow. A century later, Kraków was back on top as Poland's capital, and then dashed again in the 16th century when the capital moved to Warsaw. In more recent times, Kraków re-emerged after WWI only to be occupied by Nazi Germany 20 years later. After that came communism, and another chapter of rebirth. It's a never-ending episode of Games of Thrones and just as enthralling.Stunning ArchitectureArchitecture buffs will think they died and went to heaven. Over the thousand years of Kraków's existence, all of the great European architectural styles – Romanesque, Gothic, Renaissance, baroque and art nouveau – have cycled through and left behind traces that prove the whole is infinitely greater than the sum of the parts. Find the world's largest late-Gothic altarpiece within the darkened interiors of St Mary's Basilica, and then step out into the sunshine to see the gleaming 16th-century Renaissance Cloth Hall, built at a time when Kraków's royal authority was at its apex.Culture, Culture, CultureKraków may no longer be Poland's political capital, but it makes a strong case for being the country's cultural capital. The annual list of festivals and events is as long as your arm, and every week, it seems, brings another celebration of theatre, the arts, music, film, dance, literature and, yes, food. Did we mention there's even a pierogi fest? Outside the festival calendar, Cracovians are inveterate theatregoers, jazz aficionados, poetry lovers, film buffs and klezmer listeners, and seemingly every corner of the city, every dark basement and hidden garden, buzzes with artistic anticipation.Pierogi, Vodka & MoreNo accounting of Kraków's charms would be complete without a nod toward the culinary. Come for your fill of traditional delights like kiełbasa (Polish sausage), pierogi and vodka, served everywhere from grand Gothic cellars to simple stands. But Cracovians also love to expand their palates. French, Italian and Asian-inspired restaurants are popular, while vegan and vegetarian foods are experiencing something of a moment – vegan sushi and meatless kebabs are all the rage. Finish off with lody (ice cream), a national mania."
